gene,BP,CC,MF
PFKP,,"['GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0044877', 'GO:0045296']"
PON3,,"['GO:0005615', 'GO:0005576', 'GO:0070062']",['GO:0042803']
PPM1H,,"['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0098978']",['GO:0005515']
PPT2,,['GO:0070062'],
PTPRN2,,"['GO:0005887', 'GO:0005886', 'GO:0043235']",
RAB17,,"['GO:0043025', 'GO:0005886', 'GO:0070062', 'GO:0016323', 'GO:0042470', 'GO:0098978', 'GO:0016324', 'GO:0005769', 'GO:0030425']",['GO:0005515']
RGS20,,"['GO:0005886', 'GO:0005737', 'GO:0005634']",['GO:0005515']
RHCG,,"['GO:0005887', 'GO:0005886', 'GO:0070062', 'GO:0016323', 'GO:0016324', 'GO:0031410']",['GO:0005515']
RPL22L1,,['GO:0005737'],['GO:0005515']
RPS18,,"['GO:0005925', 'GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0005829']",['GO:0005515']
SERPINB1,,"['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0016020', 'GO:0005769', 'GO:0034774']","['GO:0005515', 'GO:0004867', 'GO:0030414']"
SLC16A5,,"['GO:0005887', 'GO:0005886', 'GO:0016020']","['GO:0005515', 'GO:0022857']"
ST6GALNAC3,,"['GO:0005794', 'GO:0005654']",['GO:0005515']
TBC1D1,,['GO:0005634'],['GO:0005515']
TCN1,,"['GO:0005615', 'GO:0005576', 'GO:0035580']",['GO:0005515']
TDRD1,,['GO:0005737'],
TFPI,,"['GO:0009986', 'GO:0005615', 'GO:0005576', 'GO:0005886', 'GO:0005901']",['GO:0004867']
TIMP2,,"['GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0035580']","['GO:0005515', 'GO:0008270', 'GO:0002020', 'GO:0030414']"
TRIM36,,"['GO:0005886', 'GO:0005737', 'GO:0005829', 'GO:0005856']","['GO:0005515', 'GO:0008270']"
TTC28,,"['GO:0005737', 'GO:0005815']",
USP44,,"['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634']","['GO:0005515', 'GO:0008270']"
WFDC2,,"['GO:0005615', 'GO:0005576', 'GO:0070062']","['GO:0005515', 'GO:0004867', 'GO:0030414']"
C16ORF74,,,['GO:0005515']
CYP11A1,,,"['GO:0005515', 'GO:0005506']"
CYP27A1,,,['GO:0005506']
LCE4A,,,['GO:0005515']
OXA1L,,,"['GO:0005515', 'GO:0042803']"
