gene,BP,CC,MF
CD1C,"['GO:0001916', 'GO:0048006', 'GO:0048007']","['GO:0005887', 'GO:0005615', 'GO:0005886', 'GO:0005794']","['GO:0005515', 'GO:0030883', 'GO:0030884']"
CD200,"['GO:0008285', 'GO:0032088']","['GO:0009986', 'GO:0005887', 'GO:0043025', 'GO:0005886', 'GO:0016020', 'GO:0030424', 'GO:0043005']",['GO:0005515']
CD8A,['GO:0007169'],"['GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0044853', 'GO:0043235']","['GO:0005515', 'GO:0019901']"
CDH17,"['GO:0007155', 'GO:0007275', 'GO:0098742']","['GO:0009986', 'GO:0016342', 'GO:0005886', 'GO:0005912', 'GO:0016323', 'GO:0016020', 'GO:0005654']","['GO:0005515', 'GO:0005509', 'GO:0045296', 'GO:0005178']"
CDH23,"['GO:0006816', 'GO:0007601', 'GO:0098742']","['GO:0016342', 'GO:0005886', 'GO:0016020']","['GO:0005515', 'GO:0005509', 'GO:0045296']"
CDH4,"['GO:0007155', 'GO:0007275', 'GO:0045773', 'GO:0007411', 'GO:0098742']","['GO:0016342', 'GO:0005887', 'GO:0005886', 'GO:0005912']","['GO:0005509', 'GO:0045296']"
CDKN1C,"['GO:0000122', 'GO:0045892', 'GO:0045893', 'GO:0045736', 'GO:0001822']","['GO:0005737', 'GO:0005634']","['GO:0005515', 'GO:0044877']"
CDKN2A,"['GO:0045944', 'GO:0008285', 'GO:0006915', 'GO:0006919', 'GO:0045892', 'GO:0032088', 'GO:0010628', 'GO:0033235', 'GO:0043065', 'GO:0001953', 'GO:0045893', 'GO:0045736']","['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0019901', 'GO:0003677', 'GO:0061629']"
CFTR,"['GO:0045921', 'GO:0035774']","['GO:0009986', 'GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0005634', 'GO:0005829', 'GO:0016324', 'GO:0005769']",['GO:0005515']
CHODL,['GO:0007399'],"['GO:0005737', 'GO:0005829', 'GO:0048471']",['GO:0005515']
CHST11,"['GO:0006915', 'GO:0042733', 'GO:0007585', 'GO:0043066', 'GO:0002063', 'GO:0030206', 'GO:0001701', 'GO:0042127', 'GO:0048589', 'GO:0030512']",['GO:0016020'],
CHST3,['GO:0030206'],,
CLASP2,"['GO:0032886', 'GO:0051895', 'GO:0045921', 'GO:0032956', 'GO:0000226', 'GO:0007026']","['GO:0005925', 'GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0005794', 'GO:0005829', 'GO:0005815', 'GO:0005874', 'GO:0005881', 'GO:0032587', 'GO:0031252', 'GO:0044295']","['GO:0005515', 'GO:1990782', 'GO:0051010', 'GO:0008017']"
CLDN12,['GO:0035633'],"['GO:0005886', 'GO:0016328']",['GO:0005515']
